ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     6 Jun 25 17:53:18 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
==================  ==================  ==================  ======
iss                  6 Jun 25 18:10:40   6 Jun 25 18:12:43     0ø
iss                  6 Jun 25 19:42:29   6 Jun 25 19:53:18    69ø
iss                  6 Jun 25 21:20:57   6 Jun 25 21:28:29     6ø
iss                  7 Jun 25 03:58:15   7 Jun 25 04:04:44     4ø
iss                  7 Jun 25 05:33:03   7 Jun 25 05:43:53    85ø
iss                  7 Jun 25 07:12:06   7 Jun 25 07:17:09     2ø
iss                  7 Jun 25 18:53:11   7 Jun 25 19:03:29    27ø
iss                  7 Jun 25 20:30:14   7 Jun 25 20:39:35    13ø
iss                  8 Jun 25 04:43:33   8 Jun 25 04:54:05    34ø
iss                  8 Jun 25 06:20:57   8 Jun 25 06:29:21     9ø
iss                  8 Jun 25 18:04:17   8 Jun 25 18:13:16    12ø
iss                  8 Jun 25 19:39:58   8 Jun 25 19:50:21    26ø
iss                  9 Jun 25 03:54:14   9 Jun 25 04:03:54    16ø
iss                  9 Jun 25 05:30:36   9 Jun 25 05:40:35    21ø
iss                  9 Jun 25 17:15:57   9 Jun 25 17:22:23     4ø
iss                  9 Jun 25 18:50:01   9 Jun 25 19:00:51    62ø
iss                  9 Jun 25 20:29:40   9 Jun 25 20:35:14     3ø
iss                 10 Jun 25 03:05:07  10 Jun 25 03:13:15     8ø
iss                 10 Jun 25 04:40:37  10 Jun 25 04:51:19    50ø
iss                 10 Jun 25 18:00:23  10 Jun 25 18:11:06    49ø
iss                 10 Jun 25 19:38:22  10 Jun 25 19:46:36     8ø
iss                 11 Jun 25 02:16:29  11 Jun 25 02:21:53     3ø
iss                 11 Jun 25 03:50:52  11 Jun 25 04:01:39    62ø

AO-07               Up Now!              6 Jun 25 18:01:10    15ø
AO-07                6 Jun 25 19:33:03   6 Jun 25 19:51:19    19ø
AO-07                7 Jun 25 04:25:28   7 Jun 25 04:45:56    32ø
AO-07                7 Jun 25 06:17:27   7 Jun 25 06:38:46    40ø
AO-07                7 Jun 25 16:40:30   7 Jun 25 16:59:40    22ø
AO-07                7 Jun 25 18:31:58   7 Jun 25 18:53:41    55ø
AO-07                7 Jun 25 20:28:49   7 Jun 25 20:39:05     4ø
AO-07                8 Jun 25 03:29:25   8 Jun 25 03:43:56     9ø
AO-07                8 Jun 25 05:17:05   8 Jun 25 05:39:18    77ø
AO-07                8 Jun 25 07:12:35   8 Jun 25 07:29:39    14ø
AO-07                8 Jun 25 15:45:52   8 Jun 25 15:53:47     2ø
AO-07                8 Jun 25 17:32:05   8 Jun 25 17:53:58    57ø
AO-07                8 Jun 25 19:25:43   8 Jun 25 19:44:37    22ø
AO-07                9 Jun 25 04:18:40   9 Jun 25 04:38:40    28ø
AO-07                9 Jun 25 06:10:11   9 Jun 25 06:31:46    45ø
AO-07                9 Jun 25 16:33:42   9 Jun 25 16:52:11    18ø
AO-07                9 Jun 25 18:24:48   9 Jun 25 18:46:42    62ø
AO-07                9 Jun 25 20:21:02   9 Jun 25 20:33:01     6ø
AO-07               10 Jun 25 03:23:10  10 Jun 25 03:36:22     7ø
AO-07               10 Jun 25 05:10:04  10 Jun 25 05:32:09    69ø
AO-07               10 Jun 25 07:05:00  10 Jun 25 07:22:56    16ø
AO-07               10 Jun 25 15:41:23  10 Jun 25 15:44:03     0ø
AO-07               10 Jun 25 17:25:04  10 Jun 25 17:46:45    50ø

UO-11                7 Jun 25 02:10:13   7 Jun 25 02:20:49    14ø
UO-11                7 Jun 25 03:45:02   7 Jun 25 03:56:54    26ø
UO-11                7 Jun 25 14:06:51   7 Jun 25 14:14:25     5ø
UO-11                7 Jun 25 15:40:02   7 Jun 25 15:52:48    60ø
