ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:     8 May 25 01:33:47 PDT
     At station:    Bombay

    Satellite         AOS Time (PDT)      LOS Time (PDT)    Max El
==================  ==================  ==================  ======
iss                  8 May 25 05:52:24   8 May 25 05:54:51     1ø
iss                  8 May 25 07:24:28   8 May 25 07:35:18    70ø
iss                  8 May 25 09:03:04   8 May 25 09:10:31     6ø
iss                  8 May 25 15:40:33   8 May 25 15:47:03     4ø
iss                  8 May 25 17:15:26   8 May 25 17:26:14    87ø
iss                  8 May 25 18:54:38   8 May 25 18:59:28     2ø
iss                  9 May 25 06:36:04   9 May 25 06:46:25    28ø
iss                  9 May 25 08:13:17   9 May 25 08:22:32    13ø
iss                  9 May 25 14:54:04   9 May 25 14:55:27     0ø
iss                  9 May 25 16:26:51   9 May 25 16:37:23    35ø
iss                  9 May 25 18:04:23   9 May 25 18:12:36     9ø
iss                 10 May 25 05:48:01  10 May 25 05:57:11    13ø
iss                 10 May 25 07:23:54  10 May 25 07:34:13    25ø
iss                 10 May 25 15:38:26  10 May 25 15:48:09    17ø
iss                 10 May 25 17:14:56  10 May 25 17:24:47    19ø
iss                 11 May 25 05:00:28  11 May 25 05:07:23     5ø
iss                 11 May 25 06:34:51  11 May 25 06:45:40    55ø
iss                 11 May 25 08:14:51  11 May 25 08:19:54     2ø
iss                 11 May 25 14:50:11  11 May 25 14:58:31     9ø
iss                 11 May 25 16:25:50  11 May 25 16:36:28    43ø
iss                 12 May 25 05:46:05  12 May 25 05:56:53    58ø
iss                 12 May 25 07:24:23  12 May 25 07:32:16     7ø
iss                 12 May 25 14:02:21  12 May 25 14:08:15     3ø

AO-07                8 May 25 04:19:30   8 May 25 04:39:51    30ø
AO-07                8 May 25 06:11:18   8 May 25 06:32:48    42ø
AO-07                8 May 25 16:34:36   8 May 25 16:53:30    20ø
AO-07                8 May 25 18:25:56   8 May 25 18:47:42    58ø
AO-07                8 May 25 20:22:31   8 May 25 20:33:31     5ø
AO-07                9 May 25 03:23:37   9 May 25 03:37:45     8ø
AO-07                9 May 25 05:11:02   9 May 25 05:33:16    74ø
AO-07                9 May 25 07:06:17   9 May 25 07:23:48    15ø
AO-07                9 May 25 15:40:35   9 May 25 15:46:58     1ø
AO-07                9 May 25 17:26:06   9 May 25 17:47:54    54ø
AO-07                9 May 25 19:19:37   9 May 25 19:38:45    23ø
AO-07               10 May 25 04:12:42  10 May 25 04:32:35    27ø
AO-07               10 May 25 06:04:02  10 May 25 06:25:48    48ø
AO-07               10 May 25 16:27:49  10 May 25 16:45:59    17ø
AO-07               10 May 25 18:18:46  10 May 25 18:40:42    65ø
AO-07               10 May 25 20:14:47  10 May 25 20:27:21     6ø
AO-07               11 May 25 03:17:25  11 May 25 03:30:10     7ø
AO-07               11 May 25 05:04:00  11 May 25 05:26:08    66ø
AO-07               11 May 25 06:58:43  11 May 25 07:17:04    18ø
AO-07               11 May 25 17:19:05  11 May 25 17:40:40    47ø
AO-07               11 May 25 19:12:19  11 May 25 19:32:00    26ø
AO-07               12 May 25 04:05:57  12 May 25 04:25:17    23ø
AO-07               12 May 25 05:56:49  12 May 25 06:18:47    54ø

UO-11               Up Now!              8 May 25 01:35:15     1ø
UO-11                8 May 25 03:02:13   8 May 25 03:14:57    76ø
UO-11                8 May 25 04:41:30   8 May 25 04:47:23     3ø
UO-11                8 May 25 14:58:01   8 May 25 15:10:17    32ø
UO-11                8 May 25 16:34:32   8 May 25 16:44:33    11ø
UO-11                9 May 25 01:41:15   9 May 25 01:47:48     3ø
UO-11                9 May 25 03:13:17   9 May 25 03:26:01    75ø
UO-11                9 May 25 15:08:56   9 May 25 15:21:32    46ø
UO-11                9 May 25 16:46:07   9 May 25 16:54:56     8ø
UO-11               10 May 25 01:51:17  10 May 25 01:59:41     7ø
UO-11               10 May 25 03:24:25  10 May 25 03:37:01    50ø
UO-11               10 May 25 15:19:55  10 May 25 15:32:42    67ø
UO-11               10 May 25 16:57:55  10 May 25 17:05:03     4ø
UO-11               11 May 25 02:01:35  11 May 25 02:11:18    10ø
UO-11               11 May 25 03:35:41  11 May 25 03:47:57    35ø
UO-11               11 May 25 13:58:52  11 May 25 14:04:07     2ø
UO-11               11 May 25 15:30:57  11 May 25 15:43:46    84ø
UO-11               11 May 25 17:10:08  11 May 25 17:14:41     2ø
UO-11               12 May 25 02:12:04  12 May 25 02:22:46    15ø
UO-11               12 May 25 03:46:59  12 May 25 03:58:47    25ø
UO-11               12 May 25 14:08:44  12 May 25 14:16:29     5ø
UO-11               12 May 25 15:42:02  12 May 25 15:54:45    57ø
UO-11               13 May 25 02:22:40  13 May 25 02:34:08    21ø

LO-19                8 May 25 04:56:54   8 May 25 05:10:50    29ø
LO-19                8 May 25 06:36:25   8 May 25 06:49:28    19ø
LO-19                8 May 25 17:19:36   8 May 25 17:33:39    28ø
LO-19                8 May 25 18:58:57   8 May 25 19:12:12    21ø
LO-19                9 May 25 04:25:27   9 May 25 04:37:05    12ø
LO-19                9 May 25 06:02:44   9 May 25 06:17:20    46ø
LO-19                9 May 25 16:47:55   9 May 25 16:59:26    11ø
LO-19                9 May 25 18:25:33   9 May 25 18:40:16    49ø
LO-19               10 May 25 03:55:41  10 May 25 04:02:03     3ø
LO-19               10 May 25 05:29:47  10 May 25 05:44:38    72ø
LO-19               10 May 25 07:11:55  10 May 25 07:21:13     6ø
LO-19               10 May 25 16:18:13  10 May 25 16:23:03     1ø
LO-19               10 May 25 17:52:38  10 May 25 18:07:37    69ø
LO-19               10 May 25 19:33:45  10 May 25 19:43:45     8ø
LO-19               11 May 25 04:57:30  11 May 25 05:11:28    30ø
LO-19               11 May 25 06:37:02  11 May 25 06:50:06    19ø
LO-19               11 May 25 17:20:13  11 May 25 17:34:16    28ø
LO-19               11 May 25 18:59:34  11 May 25 19:12:49    21ø
LO-19               12 May 25 04:26:03  12 May 25 04:37:42    12ø
LO-19               12 May 25 06:03:20  12 May 25 06:17:57    46ø
LO-19               12 May 25 16:48:31  12 May 25 17:00:03    11ø
LO-19               12 May 25 18:26:10  12 May 25 18:40:52    49ø
LO-19               13 May 25 03:56:16  13 May 25 04:02:41     3ø

AO-27                8 May 25 07:40:49   8 May 25 07:47:56     3ø
AO-27                8 May 25 09:15:28   8 May 25 09:30:34    75ø
AO-27                8 May 25 10:57:57   8 May 25 11:07:17     6ø
AO-27                8 May 25 20:04:50   8 May 25 20:10:51     2ø
AO-27                8 May 25 21:40:02   8 May 25 21:55:02    76ø
AO-27                8 May 25 23:21:38   8 May 25 23:31:05     7ø
AO-27                9 May 25 08:46:09   9 May 25 09:00:31    34ø
AO-27                9 May 25 10:26:13   9 May 25 10:39:09    17ø
AO-27                9 May 25 21:10:33   9 May 25 21:24:54    33ø
AO-27                9 May 25 22:50:28   9 May 25 23:03:14    17ø
AO-27               10 May 25 08:17:27  10 May 25 08:30:02    16ø
AO-27               10 May 25 09:55:31  10 May 25 10:10:07    38ø
AO-27               10 May 25 20:41:36  10 May 25 20:54:06    15ø
AO-27               10 May 25 22:20:02  10 May 25 22:34:27    37ø
AO-27               11 May 25 07:49:45  11 May 25 07:58:47     6ø
AO-27               11 May 25 09:25:28  11 May 25 09:40:35    84ø
AO-27               11 May 25 11:09:04  11 May 25 11:16:20     3ø
AO-27               11 May 25 20:13:40  11 May 25 20:22:10     5ø
AO-27               11 May 25 21:50:02  11 May 25 22:05:03    83ø
AO-27               11 May 25 23:32:23  11 May 25 23:40:06     4ø
AO-27               12 May 25 08:55:57  12 May 25 09:10:40    44ø
AO-27               12 May 25 10:36:43  12 May 25 10:48:46    13ø
AO-27               12 May 25 21:20:25  12 May 25 21:35:05    44ø

FO-29                8 May 25 09:36:46   8 May 25 09:52:20    17ø
FO-29                8 May 25 11:20:40   8 May 25 11:38:33    49ø
