ITPASS: InstantTrack AOS/LOS Finder Version 0.88
Copyright 1989-2004 Paul Williamson, KB5MU

Passes starting:    21 Apr 09 11:36:56 lut

    Satellite         AOS Time (lut)      LOS Time (lut)    Max El
==================  ==================  ==================  ======
iss                 21 Apr 09 15:56:44  21 Apr 09 16:05:50    20ø
iss                 21 Apr 09 17:31:46  21 Apr 09 17:41:12    24ø
iss                 21 Apr 09 19:09:30  21 Apr 09 19:15:50     5ø
iss                 21 Apr 09 20:47:28  21 Apr 09 20:51:43     2ø
iss                 21 Apr 09 22:22:35  21 Apr 09 22:30:06     8ø
iss                 21 Apr 09 23:57:18  22 Apr 09 00:07:08    54ø
iss                 22 Apr 09 01:33:20  22 Apr 09 01:40:55     8ø
iss                 22 Apr 09 14:49:31  22 Apr 09 14:55:52     5ø
iss                 22 Apr 09 16:22:32  22 Apr 09 16:32:24    82ø
iss                 22 Apr 09 17:59:10  22 Apr 09 18:07:12    10ø
iss                 22 Apr 09 19:37:33  22 Apr 09 19:42:06     2ø
iss                 22 Apr 09 21:13:54  22 Apr 09 21:19:40     4ø
iss                 22 Apr 09 22:48:34  22 Apr 09 22:57:40    18ø
iss                 23 Apr 09 00:23:42  23 Apr 09 00:33:13    29ø
iss                 23 Apr 09 15:14:00  23 Apr 09 15:23:17    24ø
iss                 23 Apr 09 16:49:14  23 Apr 09 16:58:33    21ø
iss                 23 Apr 09 18:27:04  23 Apr 09 18:33:11     4ø
iss                 23 Apr 09 20:04:53  23 Apr 09 20:09:14     2ø
iss                 23 Apr 09 21:39:55  23 Apr 09 21:47:38     8ø
iss                 23 Apr 09 23:14:39  23 Apr 09 23:24:30    64ø
iss                 24 Apr 09 00:50:51  24 Apr 09 00:58:01     7ø
iss                 24 Apr 09 14:06:32  24 Apr 09 14:13:25     6ø
iss                 24 Apr 09 15:39:52  24 Apr 09 15:49:44    69ø

AO-07               21 Apr 09 18:25:10  21 Apr 09 18:41:15    11ø
AO-07               21 Apr 09 20:15:57  21 Apr 09 20:38:13    76ø
AO-07               21 Apr 09 22:09:36  21 Apr 09 22:28:29    22ø
AO-07               22 Apr 09 05:21:55  22 Apr 09 05:38:51    14ø
AO-07               22 Apr 09 07:10:39  22 Apr 09 07:32:58    75ø
AO-07               22 Apr 09 09:05:41  22 Apr 09 09:24:48    20ø
AO-07               22 Apr 09 19:16:35  22 Apr 09 19:37:16    31ø
AO-07               22 Apr 09 21:09:06  22 Apr 09 21:30:45    52ø
AO-07               22 Apr 09 23:03:46  22 Apr 09 23:17:50     9ø
AO-07               23 Apr 09 04:27:51  23 Apr 09 04:36:54     3ø
AO-07               23 Apr 09 06:12:10  23 Apr 09 06:32:41    32ø
AO-07               23 Apr 09 08:03:49  23 Apr 09 08:25:53    52ø
AO-07               23 Apr 09 10:03:28  23 Apr 09 10:14:54     4ø
AO-07               23 Apr 09 18:18:42  23 Apr 09 18:33:47     9ø
AO-07               23 Apr 09 20:09:07  23 Apr 09 20:31:20    70ø
AO-07               23 Apr 09 22:02:40  23 Apr 09 22:21:57    24ø
AO-07               24 Apr 09 00:00:27  24 Apr 09 00:03:28     0ø
